Gene	Symbol	Description At Homolog	
Zm00001d004729		Aluminum-induced protein	
Zm00001d004730	grp5	glycine-rich protein5	
Zm00001d004731	aldh13	aldehyde dehydrogenase13	AT4G34240,AT1G44170
Zm00001d004734		Aspartyl protease APCB1	AT4G33490
Zm00001d004737		Armadillo/beta-catenin-like repeat ; C2 calcium/lipid-binding domain (CaLB) protein	AT1G77460
Zm00001d004738		Protein ACCELERATED CELL DEATH 6	
Zm00001d004739	pco071460b	F-box/WD-40 repeat-containing protein	AT3G52030
Zm00001d004740		Transmembrane 9 superfamily protein member 3	AT1G10950
Zm00001d004743		Probable BOI-related E3 ubiquitin-protein ligase 2	
Zm00001d004744	myb64	MYB-transcription factor 64	
Zm00001d004746		T-complex protein 11	
Zm00001d004750		NSP (nuclear shuttle protein)-interacting GTPase	
Zm00001d004751		Protein-tyrosine-phosphatase PTP1	
Zm00001d004753		Dirigent protein 11	
Zm00001d004754	GRMZM2G159503	Dirigent protein 23	AT5G49040,AT1G58170,AT3G13650,AT1G55210
Zm00001d004756		12-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4	
Zm00001d004758		Dirigent protein 23	
Zm00001d004762		ABC transporter G family member 25	
Zm00001d004763		Probable glucan endo-13-beta-glucosidase A6	
Zm00001d004764		class III aminotransferase	
Zm00001d004768	pco087970a	Glycosyl hydrolase superfamily protein	
Zm00001d004769		RING-H2 finger protein ATL33	
Zm00001d004775		O-fucosyltransferase family protein	
Zm00001d004778		Pentatricopeptide repeat-containing protein  mitochondrial	
Zm00001d004779	rpl7	ribosomal protein L7	AT1G71800
Zm00001d004782		Transducin/WD40 repeat-like superfamily protein	
Zm00001d004784		Protein TPLATE	
Zm00001d004785	AW681281	Protein TPLATE	
Zm00001d004790		Transcription factor GTE12	
Zm00001d004791	tcptf41	TCP-transcription factor 41	
Zm00001d004804	invan5	invertase alkaline neutral5	
Zm00001d004805		Fungi - 40; CONTAINS InterPro DOMAIN/s: Endoribonuclease XendoU (InterPro:IPR018998); Bacteria - 61; Metazoa - 472; Other Eukaryotes - 257 (source: NCBI BLink).; Viruses - 35; Has 943 Blast hits to 770 proteins in 162 species: Archae - 0; Plants - 78	
Zm00001d004807		Coatomer subunit beta-1	AT4G31480,AT4G31490
Zm00001d004810	fha6	FHA-transcription factor 6	AT1G34355
Zm00001d004811		Proline synthase co-transcribed bacterial homolog protein	
Zm00001d004812	cdpk11	calcium dependent protein kinase11	AT4G09570,AT1G35670
Zm00001d004814		embryo defective 2739	AT4G14590
Zm00001d004817	cl61_3	Fatty acid amide hydrolase	AT5G64440
Zm00001d004818		CBS domain-containing protein CBSCBSPB2	AT3G52950,AT2G36500
Zm00001d004819		calcium ion binding	
Zm00001d004821		V-type proton ATPase 16 kDa proteolipid subunit	AT4G38920,AT4G34720,AT1G19910,AT2G16510
Zm00001d004822		C2H2-like zinc finger protein	
Zm00001d004824		Bromodomain protein [source:UniProtKB/TrEMBL;Acc:B9N0D1_POPTR]	
Zm00001d004825		BEACH domain-containing protein B	
Zm00001d004826		10A19I.15	
Zm00001d004829		cellulose synthase/ transferase transferring glycosyl groups; AT5G44030 (E=6e-024) CESA4 IRX5 NWS2 | CESA4 (CELLULOSE SYNTHASE A4)	
Zm00001d004831		class III aminotransferase	
Zm00001d004835		10A19I.15	AT5G28820,AT2G29880,AT5G27260
Zm00001d004836		Receptor-like kinase TMK2	
Zm00001d004837		Alba DNA/RNA-binding protein	AT1G20220,AT1G76010
Zm00001d004839		60S ribosomal protein L3-1	AT1G61580,AT1G43170
Zm00001d004840		Chaperone protein dnaJ 3	
Zm00001d004841		60S ribosomal protein L3-1	AT1G61580,AT1G43170
Zm00001d004843	aasr2	abscisic acid stress ripening 2	
Zm00001d004846		exocyst subunit exo70 family protein C1	AT5G13150
Zm00001d004847		rRNA N-glycosidase	
Zm00001d004848		from the Czech 'roh' meaning 'corner'	
Zm00001d004850		D111/G-patch domain-containing protein	
Zm00001d004851		Plants - 127; Viruses - 0; Bacteria - 2; BEST Arabidopsis thaliana protein match is: sequence-specific DNA binding transcription factors (TAIR:AT1G21200.1); Fungi - 14; Metazoa - 137; Has 406 Blast hits to 351 proteins in 76 species: Archae - 0; Oth /.../aryotes - 126 (source: NCBI BLink).	
Zm00001d004854		Protein translation factor SUI1 homolog	
Zm00001d004855		Actin-7	AT5G09810
Zm00001d004856	atg13f	autophagy13f	AT3G18770
Zm00001d004857	bzip23	bZIP-transcription factor 23	AT1G43700
Zm00001d004861		RING/FYVE/PHD zinc finger superfamily protein	
Zm00001d004865		Associated with HOX family protein expressed	
Zm00001d004866		Protein kinase family protein	
Zm00001d004868		Transcription factor LHW	AT2G27230
Zm00001d004869		Helicase protein with RING/U-box domain	
Zm00001d004871		Aspartate--tRNA ligase chloroplastic/mitochondrial	
Zm00001d004875	TIDP3698	Two-component response regulator-like APRR9	
Zm00001d004876		Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	AT2G27260
Zm00001d004877		Coatomer subunit beta'-3	
Zm00001d004880		40S ribosomal protein S4-3	
Zm00001d004881	ofp10	OVATE-transcription factor 10	
Zm00001d004882	ofp11	OVATE-transcription factor 11	AT2G36050
Zm00001d004885		aminopeptidases	
Zm00001d004889	ns1	narrow sheath1	AT2G28610
Zm00001d004890		zinc finger (MYND type) family protein / programmed cell death 2 C-terminal domain-containing protein	
Zm00001d004891		GDSL esterase/lipase	
Zm00001d004892		Probable microtubule-binding protein TANGLED	
Zm00001d004894	ssu2	ribulose bisphosphate carboxylase small subunit2	AT1G67090,AT5G38410,AT5G38420,AT5G38430
Zm00001d004895		F-box domain containing protein	AT2G36090,AT2G27310,AT3G44326
Zm00001d004896		mRNA-decapping enzyme-like protein	AT1G08370
Zm00001d004897		Basic-leucine zipper (bZIP) transcription factor family protein	
Zm00001d004898		ERAD-associated E3 ubiquitin-protein ligase HRD1A	AT1G65040,AT3G16090
Zm00001d004899		rRNA N-glycosidase	
Zm00001d004905		OSJNBa0027H06.10 protein	
Zm00001d004906		Probable L-type lectin-domain containing receptor kinase S.5	
Zm00001d004907		4-alpha-glucanotransferase DPE2	
Zm00001d004908		 protein; Expressed protein	AT3G52710,AT2G36220
Zm00001d004909	pco087467a	Alpha carbonic anhydrase 1 chloroplastic	
Zm00001d004912		Helicase	
Zm00001d004913		Dual specificity protein phosphatase Diacylglycerol kinase catalytic region	
Zm00001d004915		Beta-16-galactosyltransferase GALT29A	
Zm00001d004916	IDP750	IQ domain-containing protein IQM3	AT3G52870
Zm00001d004917		RING-H2 finger protein ATL7	
Zm00001d004921	bx14	benzoxazinone synthesis14	AT4G35150,AT4G35160
Zm00001d004924		AT-hook motif nuclear-localized protein 1	
Zm00001d004925	ddt1	DDT-transcription factor 1	AT5G22760,AT5G35210
Zm00001d004927		Os12g0146300 protein	AT5G49210
Zm00001d004929		Leucine-rich repeat receptor-like protein kinase PXC1	AT2G36570
Zm00001d004930	pco126622	Peptidyl-prolyl cis-trans isomerase FKBP42	AT3G21640
Zm00001d004931		Heavy metal transport/detoxification superfamily protein	AT3G06130,AT5G19090
Zm00001d004933	mmc0401	Carbohydrate-binding X8 domain superfamily protein	AT1G09460
Zm00001d004934		Protein TRAUCO	AT1G51450
Zm00001d004936		Ubiquitin-like protein 5	
Zm00001d004940		Alphaalpha-trehalose-phosphate synthase [UDP-forming] 5	
Zm00001d004943		Protein arginine N-methyltransferase 1.6	
Zm00001d004944		DNA repair metallo-beta-lactamase family protein	AT1G19025
Zm00001d004951		Protein NLP2	
Zm00001d004955		Phosphatidylinositol 4-phosphate 5-kinase 6	
Zm00001d004956	gldh1	galactono lactone dehydrogenase1	AT3G47930
Zm00001d004957		Cytochrome P450 90A1	AT5G05690
Zm00001d004959		Protein FLX-like 3	
Zm00001d004960	pco062200a	2-isopropylmalate synthase 1 chloroplastic	AT1G18500,AT1G74040
Zm00001d004965		class III aminotransferase	
Zm00001d004966	traf8	TNF receptor-associated factor 8	
Zm00001d004972	umc2252	Probable calcium-binding protein CML36	
Zm00001d004973		Fungi - 335; Metazoa - 841; Viruses - 72; Plants - 248; Other Eukaryotes /.../0 (source: NCBI BLink).; Bacteria - 291; Has 3163 Blast hits to 2460 proteins in 357 species: Archae - 16; BEST Arabidopsis thaliana protein match is: nucleolar protein gar2-related (TAIR:AT2G42320.2)	
Zm00001d004976		PP2A regulatory subunit TAP46	AT5G53000
Zm00001d004977		Cytochrome c-type biogenesis ccda-like chloroplastic protein	AT5G54290
Zm00001d004978		Saccharopine dehydrogenase	AT1G50450
Zm00001d004979	pco061840b	E3 ubiquitin-protein ligase listerin	AT5G58410
Zm00001d004982		Noc2p family	AT3G55510
Zm00001d004983		Pentatricopeptide repeat-containing protein	AT5G14080
Zm00001d004986	umc2110	RNA-binding (RRM/RBD/RNP motifs) family protein	AT3G52660
Zm00001d004990		40S ribosomal protein S4-3	
Zm00001d004992		Probable inactive dual specificity protein phosphatase-like	
Zm00001d004993		RNA binding (RRM/RBD/RNP motifs) family protein	AT5G16260
Zm00001d004996		Mitogen-activated protein kinase kinase kinase 2	
Zm00001d004997	ccr2	ubiquinol-cytochrome c reductase2	AT3G52730
Zm00001d004998	cdpk2	calcium dependent protein kinase2	
Zm00001d005001	tom3	transporter of mugineic acid3	AT5G13750,AT5G13740
Zm00001d005002	umc1028	Probable peptide/nitrate transporter	AT5G13750,AT5G13740
Zm00001d005003	cal4	calmodulin4	
Zm00001d005004		Protein kinase superfamily protein	AT2G40980
Zm00001d005005	gata1	C2C2-GATA-transcription factor 1	
Zm00001d005006		nucleotide sugar transporter-KT 1	
Zm00001d005007	vq15	VQ motif-transcription factor15	
Zm00001d005008		Ulp1 protease family C-terminal catalytic domain containing protein expressed	
Zm00001d005010		Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	AT2G27080,AT5G21130
Zm00001d005011		embryo defective 1379	
Zm00001d005012		ENTH/VHS family protein	
Zm00001d005013		ENTH/VHS family protein	
Zm00001d005016	wri1	WRI1 transcription factor1	AT3G54320
Zm00001d005017		FAD-dependent oxidoreductase family protein	
Zm00001d005018		Protein DETOXIFICATION 21	AT1G33110,AT1G33090,AT1G33080,AT1G33100
Zm00001d005019	cl8873_1(176)	Acyl-CoA synthetase long-chain family member 3	AT2G04350
Zm00001d005022		TRF-like 10	
Zm00001d005023		40S ribosomal protein S16	AT3G04230,AT2G09990,AT5G18380
Zm00001d005026		TRAF-like superfamily protein	AT3G11950
Zm00001d005027		 protein; Expressed protein	AT3G13410
Zm00001d005028	nactf126	NAC-transcription factor 126	
Zm00001d005029	gras37	GRAS-transcription factor 37	AT3G54220
Zm00001d005030		40S ribosomal protein S4-3	
Zm00001d005031		Novel plant SNARE 13	
Zm00001d005032		Cation/H(+) antiporter 15	
Zm00001d005035		Ethanolamine-phosphate cytidylyltransferase	AT2G38670
Zm00001d005036		Serine/threonine-protein kinase	AT5G01020
Zm00001d005037		Protein kinase APK1B chloroplast	
Zm00001d005038		Protein LURP-one-related 2	
Zm00001d005039		Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	AT3G54200
Zm00001d005043		Probable receptor-like protein kinase	
Zm00001d005044		Probable receptor-like protein kinase	
Zm00001d005050		Whole genome shotgun sequence of line PN40024 scaffold_35.assembly12x (Fragment)	
Zm00001d005051		Root phototropism protein 2	AT2G30520
Zm00001d005052		Mannan endo-14-beta-mannosidase 6	
Zm00001d005053		Methylesterase 17	
Zm00001d005055	mybr4	MYB-related-transcription factor 4	
Zm00001d005056	wrky23	WRKY-transcription factor 23	
Zm00001d005057	wrky24	WRKY-transcription factor 24	
Zm00001d005060		Vacuolar-sorting receptor 1	
Zm00001d005061		60S ribosomal protein L15-2	
Zm00001d005062		Vacuolar-sorting receptor 1	AT3G52850
Zm00001d005063		Regulatory-associated protein of TOR 1	
Zm00001d005064		Regulatory-associated protein of TOR 1	
Zm00001d005065	cl26752_1	BcpLH protein	
Zm00001d005071		Probable protein phosphatase 2C 65	
Zm00001d005072	umc255a	F-box/LRR-repeat protein 3	
Zm00001d005080	mate5	multidrug and toxic compound extrusion5	AT2G38330
Zm00001d005082		Protein NUCLEAR FUSION DEFECTIVE 4	AT5G45275,AT4G19450,AT1G31470,AT3G01630
Zm00001d005083		Cysteine-rich receptor-like protein kinase 40	
Zm00001d005085		Ubiquitin-activating enzyme E1 2	
Zm00001d005087	glk35	G2-like-transcription factor 35	AT2G38300
Zm00001d005089		mRNA turnover protein 4	AT1G25260
Zm00001d005090		Clathrin heavy chain 2	
Zm00001d005092		Protein ESKIMO 1	
Zm00001d005094		Bifunctional monothiol glutaredoxin-S16 chloroplastic	AT2G38270
Zm00001d005095		Acyl-lipid omega-3 desaturase (cytochrome b5) endoplasmic reticulum	
Zm00001d005099		mitochondrial substrate carrier family protein	AT2G35800
Zm00001d005100	pbf1	prolamin-box binding factor1	AT5G60170,AT2G28540,AT3G45630
Zm00001d005102		Protein TONNEAU 1b	AT3G55000,AT3G55005
Zm00001d005104		Putative GTP diphosphokinase RSH1 chloroplastic	
Zm00001d005105		Protein kinase superfamily protein	
Zm00001d005106		Protein EMSY-LIKE 4	AT5G13020
Zm00001d005107		FRIGIDA-like protein 3	AT5G48385
Zm00001d005108	snrk1a2	SNF1-related kinase alpha1-like2	AT3G29160,AT3G01090
Zm00001d005110		Serine/threonine-protein phosphatase	AT5G55260
Zm00001d005112		SAC3 family protein B	
Zm00001d005114		Cytochrome b-c1 complex subunit 7-2	
Zm00001d005118		Sec14p-like phosphatidylinositol transfer family protein	
Zm00001d005121		Probable plastid-lipid-associated protein 10 chloroplastic	
Zm00001d005127	upl9	ubiquitin-protein ligase9	AT1G55860,AT1G70320
Zm00001d005135	ptk4	protein kinase homolog4	
Zm00001d005137		Protein ENHANCED DOWNY MILDEW 2	AT5G55390
Zm00001d005140		Meiotic nuclear division protein 1 homolog	AT4G29170
Zm00001d005143		bZIP transcription factor family protein	
Zm00001d005144		NAD-dependent dyhydrogenase%2C Gfo/Idh/MocA family	AT3G20790
Zm00001d005146	csu337	 csu337; :	AT5G48485,AT5G48490
Zm00001d005148		Myristoyl-acyl carrier protein thioesterase	
Zm00001d005149		Pentatricopeptide repeat-containing protein  mitochondrial	AT3G26782
Zm00001d005151	ask2	aspartate kinase2	AT5G13280
Zm00001d005154		Putative E3 ubiquitin-protein ligase RF4	
Zm00001d005156		Retrovirus-related Pol polyprotein LINE-1	AT1G55040
Zm00001d005157		Glutamine-dependent NAD(+) synthetase	AT1G55090
Zm00001d005158		CASP-like protein 3	AT4G15610,AT3G06390
Zm00001d005159	pco075678	Spermidine synthase 2	AT1G23820,AT1G70310
Zm00001d005160	bbr2	BBR/BPC-transcription factor 2	
Zm00001d005161		xylulose kinase-1	AT2G21370
Zm00001d005162		Leucine aminopeptidase 2 chloroplastic	
Zm00001d005164	cdpk33	calcium dependent protein kinase33	AT2G17890,AT5G66210
Zm00001d005165		Protein OBERON 3	AT1G14740
Zm00001d005168	parp2	poly(ADP-ribose) polymerase2	AT2G31320
Zm00001d005169		Protein with potential galactosyl transferase activity	
Zm00001d005173		Sterol 3-beta-glucosyltransferase UGT80A2	
Zm00001d005174		UDP-glycosyltransferase 76C1	AT3G55710,AT3G55700
Zm00001d005177		maternal effect embryo arrest 60	AT5G05950
Zm00001d005179	pco131625	THO complex subunit 4B	
Zm00001d005182		Charged multivesicular body protein 2a	AT2G06530
Zm00001d005185	alf19	Alfin-like-transcription factor 19	AT3G11200,AT5G05610
Zm00001d005188	pco119600	Cytochrome b5 domain-containing protein RLF	AT5G09680
Zm00001d005189	hma4	heavy metal ATPase4	
Zm00001d005190	hma3	heavy metal ATPase3	
Zm00001d005191		protein serine/threonine kinases;ATP binding;catalytics	
Zm00001d005192		Serine carboxypeptidase-like 51	
Zm00001d005193		Protein LURP1	AT1G33840,AT3G11740,AT2G14560,AT5G01750
Zm00001d005195		RING/U-box superfamily protein	
Zm00001d005199		Protein kinase superfamily protein	AT2G42960,AT3G59110
Zm00001d005200		40S ribosomal protein S12	AT2G32060,AT1G15930
Zm00001d005203		Ethylene-responsive transcription factor ERF118	
Zm00001d005205		KH domain-containing protein SPIN1	AT2G38610,AT3G08620
Zm00001d005208	nactf5	NAC-transcription factor 5	
Zm00001d005212		SPOC domain / Transcription elongation factor S-II protein	
Zm00001d005215		Ras-related protein RABD1	
Zm00001d005219		Calcium dependent protein kinase 13	
Zm00001d005228	pza02939	Ribosomal protein L22p/L17e family protein	AT4G28360,AT1G52370
Zm00001d005230	hfi1	corn-activated Hageman factor inhibitor1	
Zm00001d005231		ADP-ribosylation factor A1F	
Zm00001d005238		Eukaryotic translation initiation factor 3 subunit E	AT3G57290
Zm00001d005239	ipt9	isopentenyl transferase9	AT5G19040,AT3G23630
Zm00001d005240	fha7	FHA-transcription factor 7	AT5G19280
Zm00001d005241		Mediator of RNA polymerase II transcription subunit 33A	AT3G23590
Zm00001d005244	bzip86	bZIP-transcription factor 86	
Zm00001d005246		BAG family molecular chaperone regulator 6	
Zm00001d005247		40S ribosomal protein S4-3	
Zm00001d005248		Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	AT5G66680
Zm00001d005249		Patellin-1	
Zm00001d005250	cesa9	cellulose synthase9	AT5G05170
Zm00001d005251		NAD(P)H dehydrogenase (quinone) FQR1	
Zm00001d005252		Leucine-rich repeat receptor-like tyrosine-protein kinase PXC3	AT2G41820
Zm00001d005253	GRMZM2G124103	V-type proton ATPase subunit G1	AT3G01390,AT4G23710
Zm00001d005256	sfp7	sulfate transporter7	AT5G13550,AT3G12520
Zm00001d005257		Sulfate transporter 4.1 chloroplastic	AT5G13550,AT3G12520
Zm00001d005264		Tetratricopeptide repeat (TPR)-like superfamily protein	AT5G35430
Zm00001d005265	cl57058_1b	NDR1/HIN1-like 25	
Zm00001d005266		Arginine decarboxylase	
Zm00001d005267		Peptidyl-prolyl cis-trans isomerase CYP19-3	
Zm00001d005269		Protein NEDD1	AT5G05970
Zm00001d005270		Probable tyrosine-protein phosphatase	
Zm00001d005271		serine/threonine protein kinase 3	
Zm00001d005275		ARM repeat superfamily protein	AT2G05810
Zm00001d005276		Polyadenylate-binding protein 2	AT1G49760,AT4G34110
Zm00001d005279		Peroxidase 73	AT4G37520,AT5G67400,AT4G30170,AT3G49960,AT4G37530
Zm00001d005281		RNA binding;abscisic acid binding	AT4G16280
Zm00001d005283		F8M12.18 protein	
Zm00001d005284		F8M12.18 protein	AT4G31830
Zm00001d005286		Putative GEM-like protein 8	
Zm00001d005288		Cryptochrome-1	
Zm00001d005289		60 kDa jasmonate-induced protein	
Zm00001d005292		General transcription factor 2-related zinc finger protein	
Zm00001d005293	cyc11	cyclin11	
Zm00001d005295	IDP825	DNA-directed RNA polymerases II IV and V subunit 3	AT2G15430,AT2G15400
Zm00001d005296		late embryogenesis abundant protein	
Zm00001d005297	umc1658	Protein LONGIFOLIA 2	AT1G18620,AT1G74160
Zm00001d005298		receptor-like kinase	AT5G67280,AT4G37250,AT2G23300
Zm00001d005299		Delta-1-pyrroline-5-carboxylate synthase B	
Zm00001d005300	myb139	MYB-transcription factor 139	AT5G67300,AT3G50060,AT2G23290,AT4G37260
Zm00001d005301		DNA binding	AT1G26330
Zm00001d005302		CAX-interacting protein 4	
Zm00001d005303		Pre-mRNA-splicing factor 38	AT2G40650
Zm00001d005304		Patellin-1	
Zm00001d005305		Probable mannan synthase 7	
Zm00001d005306		Dynamin-related protein 1E	
Zm00001d005307	myb113	MYB-transcription factor 113	
Zm00001d005308		P-loop NTPase domain-containing protein LPA1 homolog 1	
Zm00001d005309		Ethylene-responsive transcription factor 14	
Zm00001d005312		Phenolic glucoside malonyltransferase 1	AT1G03495,AT1G03940
Zm00001d005313		alpha/beta-Hydrolases superfamily protein	AT2G42450
Zm00001d005315		Calcium-dependent lipid-binding (CaLB domain) family protein	AT5G23950
Zm00001d005317	pco080190	Amino acid binding protein	AT2G36840
Zm00001d005322		Histone H2B	AT1G08170
Zm00001d005323		C2H2-like zinc finger protein	AT4G25610
Zm00001d005324		U-box domain-containing protein 33	
Zm00001d005328	GRMZM2G085939	Calmodulin-binding heat-shock protein	AT3G49050
Zm00001d005329	cl39673_1a	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	AT4G11570
Zm00001d005330		late embryogenesis abundant protein	
Zm00001d005332		ARM repeat superfamily protein	
Zm00001d005333	GRMZM2G386138	Germin-like protein 9-3	
Zm00001d005334		Ubiquitin-60S ribosomal protein L40-1	AT2G36170,AT3G52590
Zm00001d005337		Cytidine/deoxycytidylate deaminase family protein	
Zm00001d005338		Single-stranded nucleic acid binding R3H protein	
Zm00001d005343	pco154542	Nucleoside N-ribohydrolase 3%3B Pyrimidine-specific ribonucleoside hydrolase rihB	
Zm00001d005344	hp2	histidine-containing phosphotransfer protein2	
Zm00001d005345		nucleic acid binding;methyltransferases	
Zm00001d005346	GRMZM2G085153	Aldo-keto reductase/ oxidoreductase	AT2G27680
Zm00001d005347	dar1	monodehydroascorbate reductase homolog1	AT3G52880
Zm00001d005348		Serine/threonine-protein kinase CTR1	
Zm00001d005349		Pentatricopeptide repeat-containing protein	AT1G22830,AT1G71490
Zm00001d005350		ENTH/VHS family protein	AT2G36480
Zm00001d005351		Arogenate dehydratase/prephenate dehydratase 6 chloroplastic	AT2G27820,AT1G08250
Zm00001d005354		General transcription factor 2-related zinc finger protein	
Zm00001d005355		Nuclear pore complex protein GP210	
Zm00001d005356		Nuclear pore complex protein GP210	AT5G40480
Zm00001d005358		Nuclear pore complex protein GP210	
Zm00001d005359		ATP-dependent protease Clp ATPase subunit	AT3G26580
Zm00001d005361		Serine/threonine-protein kinase AFC2	
Zm00001d005364		Protein MIZU-KUSSEI 1	
Zm00001d005366		Two-component response regulator-like APRR1	
Zm00001d005367		Cell division control protein 48 homolog E	
Zm00001d005369		E3 ubiquitin-protein ligase RGLG1	
Zm00001d005370		GPI mannosyltransferase 1	AT5G22130
Zm00001d005372		Calcineurin-like metallo-phosphoesterase superfamily protein	AT4G23000,AT4G11800
Zm00001d005373		Chaperonin 60 subunit alpha 2 chloroplastic	AT4G15080,AT3G22180
Zm00001d005377		Lecithin-cholesterol acyltransferase-like 1	
Zm00001d005378		Lecithin-cholesterol acyltransferase-like 1	
Zm00001d005383		Lecithin-cholesterol acyltransferase-like 1	
Zm00001d005384		Guanylate-binding family protein	
Zm00001d005387		Growth-regulating factor 6	
Zm00001d005391		Cysteine proteinases superfamily protein	
Zm00001d005392		Lecithin-cholesterol acyltransferase-like 1	
Zm00001d005393		E3 ubiquitin-protein ligase	
Zm00001d005394	umc2253	Fiber protein Fb34	AT3G15480,AT1G52910
Zm00001d005395		Regulator of chromosome condensation (RCC1) family protein	AT3G15430
Zm00001d005396		ORMDL family protein	
Zm00001d005398		ADP-ribosylation factor GTPase-activating protein AGD12	
Zm00001d005399		kinesin-like protein	
Zm00001d005402		RNA-binding (RRM/RBD/RNP motifs) family protein	
Zm00001d005403		Protein prenylyltransferase superfamily protein	AT5G37130,AT5G17270
Zm00001d005406		LUC7 N_terminus domain-containing protein	AT5G51410
Zm00001d005407		myosin heavy chain-related	
Zm00001d005410		Aquaporin PIP2-2	AT2G37180,AT3G53420,AT5G60660,AT2G37170
Zm00001d005420		Probable protein phosphatase 2C 33	
Zm00001d005421	pip2b	plasma membrane intrinsic protein2	AT2G37180,AT3G53420,AT5G60660,AT2G37170
Zm00001d005422		FAD/NAD(P)-binding oxidoreductase family protein	
Zm00001d005423		DNA-directed RNA polymerases II IV and V subunit 12	
Zm00001d005424	cl803_1	DNA-directed RNA polymerases I%2C II%2C and III 7.3 kDa polypeptide	AT5G24340
Zm00001d005426		CRIB domain-containing protein RIC1	AT2G20430,AT1G03982,AT4G28556
Zm00001d005429		COP1-interacting protein-related	AT5G43310
Zm00001d005430		3-ketoacyl-CoA synthase 15	
Zm00001d005431		Beta-glucosidase GBA2 type family protein	
Zm00001d005432		40S ribosomal protein S4-3	
Zm00001d005434		Serine carboxypeptidase-like 19	AT5G09640
Zm00001d005436		Serine carboxypeptidase-like 18	
Zm00001d005437		Proteinase inhibitor propeptide	
Zm00001d005439	yuc9	yucca9	
Zm00001d005442		Ankyrin repeat family protein	AT1G04780
Zm00001d005445	sdg137	Histone-lysine N-methyltransferase family member SUVH9	AT2G33290,AT4G13460
Zm00001d005446		Photosystem I reaction center subunit IV A	AT4G28750,AT2G20260
Zm00001d005449		Replication protein A 70 kDa DNA-binding subunit B	
Zm00001d005450	pti4	pto-interacting4	AT1G06700,AT3G59350,AT2G43230,AT2G30740
Zm00001d005451		Cellulose synthase A catalytic subunit 5 [UDP-forming]	AT4G39350,AT5G09870,AT2G21770,AT5G64740
Zm00001d005453		heteroglycan glucosidase 1	
Zm00001d005455		Sulfiredoxin chloroplastic/mitochondrial	
Zm00001d005456		UDP-glycosyltransferase 76C1	AT5G05870,AT5G05880,AT5G05860,AT5G05900,AT5G05890,AT3G11340
Zm00001d005458		Ferredoxin--NADP reductase leaf isozyme 1 chloroplastic	
Zm00001d005459	cda2	cytidine deaminase2	AT5G28050
Zm00001d005460		Calreticulin-2	AT1G56340,AT1G09210
Zm00001d005461		Protein transport protein SEC13 homolog B	
Zm00001d005462		 protein; Expressed protein	AT4G16100
Zm00001d005463		PIF / Ping-Pong family of plant transposases	
Zm00001d005464	pmei13	pectin methylesterase inhibitor13	
Zm00001d005466		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	
Zm00001d005468		vesicle-associated membrane protein 724	
Zm00001d005471		Mannose-specific jacalin-related lectin;  protein; Expressed protein	
Zm00001d005472		Mannose-specific jacalin-related lectin;  protein; Expressed protein	
Zm00001d005473	cl53957_1a	mRNA-decapping enzyme-like protein	
Zm00001d005476		Peroxisomal membrane protein 13	
Zm00001d005478		Cellulose synthase A catalytic subunit 5 [UDP-forming]	
Zm00001d005479		Metal transporter Nramp6	
Zm00001d005480		BTB/POZ domain-containing protein	AT2G13690
Zm00001d005481		Pentatricopeptide repeat-containing protein	
Zm00001d005482	pco074056(159)	Thioredoxin superfamily protein	AT1G21350
Zm00001d005484	pld12	phospholipase D12	
Zm00001d005485	phb1	prohibitin1	
Zm00001d005487		cyclin-related	
Zm00001d005489	IDP866	D-isomer specific 2-hydroxyacid dehydrogenase family protein	AT1G72190
Zm00001d005490	pmei41	pectin methylesterase inhibitor41	
Zm00001d005495	ras11A1	ras related protein11A1	
Zm00001d005497		UDP-Glycosyltransferase superfamily protein	
Zm00001d005498	cl4750_1	Guanosine nucleotide diphosphate dissociation inhibitor 2	AT3G59920,AT2G44100
Zm00001d005499		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	
Zm00001d005500		B12D protein	
Zm00001d005501		Serine/threonine protein phosphatase 2A 59 kDa regulatory subunit B' eta isoform	AT4G15415,AT3G21650
Zm00001d005502		Protein SMG7	AT5G19400
Zm00001d005504	ras11E2	ras-related protein11E2	AT5G47960
Zm00001d005507		Mediator of RNA polymerase II transcription subunit 14	AT3G04740
Zm00001d005513	pco137067b	Co-chaperone GrpE family protein	AT4G26780,AT5G55200
Zm00001d005516		Enhancer of polycomb-like transcription factor protein	AT1G79020,AT1G16690
Zm00001d005517		Probable cellulose synthase A catalytic subunit 2 [UDP-forming]	
Zm00001d005520		Phosphoglycerate mutase family protein	AT3G52155
Zm00001d005523		TPX2 (targeting protein for Xklp2) protein family	
Zm00001d005525		Probable protein phosphatase 2C 33	
Zm00001d005528		ABC transporter B family member 9	
Zm00001d005529		CBF1-interacting co-repressor CIR N-terminal;Pre-mRNA splicing factor	
Zm00001d005531		Protein WVD2-like 3	
Zm00001d005532		Ubiquitin-conjugating enzyme E2-17 kDa	
Zm00001d005534		Peptidyl-prolyl cis-trans isomerase FKBP53	
